facility_id,position,productive_hours,productive_hours_per_patient
106301155,Administrative Services Cost Centers,71209,1.77
106190878,Administrative Services Cost Centers,306781,2.45
106190066,Contracted Other,0,0.0
106331312,Technician & Specialist,392631,2.7
106540734,Registered Nurse,1505069,6.93
106190756,Environmental & Food Services,0,0.0
106191014,Daily Cost Centers,0,0.0
106150788,Fiscal Services Cost Centers,272321,2.56
106190422,Registered Nurse,1348638,8.79
106574010,Administrative Services Cost Centers,37123,2.03
106190758,Education Cost Centers,41015,0.33
106400548,Environmental & Food Services,8833,0.3
106450949,Ancillary Cost Centers,573273,6.89
106374049,Registered Nurse,10819,1.49
106301098,Daily Cost Centers,716700,8.88
106190547,Fiscal Services Cost Centers,40624,1.66
106332172,Licensed Vocational Nurse,43107,4.24
106400466,Contracted Other,8349,0.38
106301188,Clerical & Other Administrative,182709,2.89
106454012,Environmental & Food Services,25883,0.92
106391056,Clerical & Other Administrative,81162,2.94
106504038,Daily Cost Centers,30377,4.24
106190280,Contracted Registry Nursing,6414,0.25
106190385,Administrative Services Cost Centers,360979,3.34
106450940,Environmental & Food Services,17936,0.43
106190756,Administrative Services Cost Centers,252211,3.68
106444013,Technician & Specialist,215870,6.95
106190631,Aides & Orderlies,352101,2.24
106450949,Clerical & Other Administrative,323268,3.84
106361110,Ambulatory Cost Centers,59590,1.77
106104089,Contracted Other,0,0.0
106100899,Registered Nurse,1332372,8.57
106190053,Contracted Other,45792,0.59
106150737,Ambulatory Cost Centers,34434,0.66
106434040,Technician & Specialist,1008741,9.99
106430905,Administrative Services Cost Centers,1469828,5.86
106301175,Licensed Vocational Nurse,15595,0.14
106344017,Registered Nurse,51490,2.13
106150736,General Services Cost Centers,509764,6.04
106010937,Aides & Orderlies,194950,2.07
106364144,Education Cost Centers,0,0.0
106540798,Administrative Services Cost Centers,196876,2.48
106190163,Technician & Specialist,73897,1.42
106480989,Education Cost Centers,0,0.0
106370652,Education Cost Centers,1877,0.04
106250955,Ambulatory Cost Centers,14831,1.11
106410817,Registered Nurse,709772,4.67
106334457,Contracted Other,5117,1.25
106362041,Contracted Registry Nursing,23047,0.25
106190681,Daily Cost Centers,39832,61.76
106190680,Administrative Services Cost Centers,218595,2.36
106013687,Registered Nurse,4872,0.75
106370787,Daily Cost Centers,310664,9.37
106150736,General Services Cost Centers,509764,6.04
106214034,Management & Supervision,33247,2.58
106420514,Management & Supervision,223579,1.96
106361458,Technician & Specialist,39488,7.33
106370771,Clerical & Other Administrative,438599,4.45
106560838,Contracted Registry Nursing,260,0.04
106514030,Management & Supervision,24490,8.93
106514033,Contracted Other,0,0.0
106190500,Education Cost Centers,0,0.0
106371394,Education Cost Centers,0,0.0
106304079,Environmental & Food Services,16411,1.08
106301098,Clerical & Other Administrative,444671,5.95
106270744,Environmental & Food Services,304914,4.03
106130699,Technician & Specialist,486029,9.26
106340913,Contracted Registry Nursing,4800,0.11
106190045,Other,2351,0.25
106190232,Administrative Services Cost Centers,54292,1.33
106540798,Education Cost Centers,0,0.0
106391042,Management & Supervision,340615,3.27
106190170,Licensed Vocational Nurse,75615,0.58
106361308,Aides & Orderlies,166860,1.97
106154022,Licensed Vocational Nurse,36944,1.96
106150706,Fiscal Services Cost Centers,76390,1.54
106196168,Fiscal Services Cost Centers,131015,1.28
106400683,Aides & Orderlies,0,0.0
106344035,Management & Supervision,43213,3.59
106400480,Ambulatory Cost Centers,69792,3.03
106560481,Ancillary Cost Centers,608333,6.26
106100899,Licensed Vocational Nurse,17570,0.11
106190305,Contracted Other,4035,0.15
106391042,Fiscal Services Cost Centers,189684,1.63
106390846,Management & Supervision,240883,3.79
106190468,Other,48,0.0
106420483,Technician & Specialist,92006,3.73
106190298,Ambulatory Cost Centers,75773,2.42
106380842,Clerical & Other Administrative,76202,0.49
106301098,Daily Cost Centers,646955,8.08
106194010,Registered Nurse,6858,0.23
106250956,Daily Cost Centers,111349,2.45
106434220,Licensed Vocational Nurse,12844,3.15
106301188,Licensed Vocational Nurse,47386,0.78
106190150,Registered Nurse,67392,1.42
106190317,Environmental & Food Services,69495,2.79
106400480,Education Cost Centers,0,0.0
106190930,Aides & Orderlies,59537,2.11
